Column1,Title,Movie Info,Distributor,Release Date, Domestic , International, World Sales (in $) ,Genre,Movie Runtime,License
2,Avatar (2009),A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Twentieth Century Fox,16-Dec-09,"$760,507,625.00 ","$2,086,738,578.00 ","$2,847,246,203.00 ","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 42 min,PG-13
1,Avengers: Endgame (2019),"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Walt Disney Studios Motion Pictures,24-Apr-19,"$858,373,000.00 ","$1,939,128,328.00 ","$2,797,501,328.00 ","['Action', 'Adventure', 'Drama', 'Sci-Fi']",3 hr 1 min,PG-13
6,Titanic (1997),"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Paramount Pictures,19-Dec-97,"$659,363,944.00 ","$1,542,283,320.00 ","$2,201,647,264.00 ","['Drama', 'Romance']",3 hr 14 min,PG-13
0,Star Wars: Episode VII - The Force Awakens (2015),"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Walt Disney Studios Motion Pictures,16-Dec-15,"$936,662,225.00 ","$1,132,859,475.00 ","$2,069,521,700.00 ","['Action', 'Adventure', 'Sci-Fi']",2 hr 18 min,PG-13
4,Avengers: Infinity War (2018),The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Walt Disney Studios Motion Pictures,NA,"$678,815,482.00 ","$1,369,544,272.00 ","$2,048,359,754.00 ","['Action', 'Adventure', 'Sci-Fi']",2 hr 29 min,NA
7,Jurassic World (2015),"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",Universal Pictures,10-Jun-15,"$652,385,625.00 ","$1,018,130,819.00 ","$1,670,516,444.00 ","['Action', 'Adventure', 'Sci-Fi']",2 hr 4 min,PG-13
11,The Lion King (2019),"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",Walt Disney Studios Motion Pictures,11-Jul-19,"$543,638,043.00 ","$1,119,261,396.00 ","$1,662,899,439.00 ","['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",1 hr 58 min,PG
5,Spider-Man: No Way Home (2021),"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Sony Pictures Entertainment (SPE),NA,"$675,813,257.00 ","$868,642,706.00 ","$1,544,455,963.00 ","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 28 min,NA
8,The Avengers (2012),Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Walt Disney Studios Motion Pictures,25-Apr-12,"$623,357,910.00 ","$895,457,605.00 ","$1,518,815,515.00 ","['Action', 'Adventure', 'Sci-Fi']",2 hr 23 min,PG-13
54,Furious 7 (2015),Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Universal Pictures,1-Apr-15,"$353,007,020.00 ","$1,162,334,379.00 ","$1,515,341,399.00 ","['Action', 'Thriller']",2 hr 17 min,PG-13
17,Frozen II (2019),"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",Walt Disney Studios Motion Pictures,20-Nov-19,"$477,373,578.00 ","$972,653,355.00 ","$1,450,026,933.00 ","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",1 hr 43 min,PG
20,Avengers: Age of Ultron (2015),"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Walt Disney Studios Motion Pictures,22-Apr-15,"$459,005,868.00 ","$943,803,672.00 ","$1,402,809,540.00 ","['Action', 'Adventure', 'Sci-Fi']",2 hr 21 min,PG-13
3,Black Panther (2018),"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Walt Disney Studios Motion Pictures,NA,"$700,426,566.00 ","$647,171,407.00 ","$1,347,597,973.00 ","['Action', 'Adventure', 'Sci-Fi']",2 hr 14 min,NA
42,Harry Potter and the Deathly Hallows: Part 2 (2011),"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Warner Bros.,NA,"$381,409,310.00 ","$960,912,354.00 ","$1,342,321,665.00 ","['Adventure', 'Fantasy', 'Mystery']",2 hr 10 min,NA
9,Star Wars: Episode VIII - The Last Jedi (2017),"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",Walt Disney Studios Motion Pictures,13-Dec-17,"$620,181,382.00 ","$712,517,448.00 ","$1,332,698,830.00 ","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 32 min,PG-13
29,Jurassic World: Fallen Kingdom (2018),"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",Universal Pictures,6-Jun-18,"$417,719,760.00 ","$892,746,536.00 ","$1,310,466,296.00 ","['Action', 'Adventure', 'Sci-Fi']",2 hr 8 min,PG-13
39,Frozen (2013),"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",Walt Disney Studios Motion Pictures,22-Nov-13,"$400,953,009.00 ","$880,555,091.00 ","$1,281,508,100.00 ","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",1 hr 42 min,PG
15,Beauty and the Beast (2017),"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Walt Disney Studios Motion Pictures,16-Mar-17,"$504,481,165.00 ","$769,095,055.00 ","$1,273,576,220.00 ","['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",2 hr 9 min,PG
10,Incredibles 2 (2018),The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Walt Disney Studios Motion Pictures,NA,"$608,581,744.00 ","$634,507,500.00 ","$1,243,089,244.00 ","['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",1 hr 58 min,NA
163,The Fate of the Furious (2017),"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",Universal Pictures,12-Apr-17,"$226,008,385.00 ","$1,009,996,733.00 ","$1,236,005,118.00 ","['Action', 'Crime', 'Thriller']",2 hr 16 min,PG-13
32,Iron Man 3 (2013),"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Walt Disney Studios Motion Pictures,24-Apr-13,"$409,013,994.00 ","$805,797,258.00 ","$1,214,811,252.00 ","['Action', 'Adventure', 'Sci-Fi']",2 hr 10 min,PG-13
61,Minions (2015),"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Universal Pictures,9-Apr-15,"$336,045,770.00 ","$823,398,892.00 ","$1,159,444,662.00 ","['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",1 hr 31 min,PG
33,Captain America: Civil War (2016),Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Walt Disney Studios Motion Pictures,27-Apr-16,"$408,084,349.00 ","$745,253,147.00 ","$1,153,337,496.00 ","['Action', 'Adventure', 'Sci-Fi']",2 hr 27 min,PG-13
63,Aquaman (2018),"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",Warner Bros.,NA,"$335,061,807.00 ","$813,424,079.00 ","$1,148,485,886.00 ","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 23 min,NA